Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Common Moorhen,Gallinula chloropus,european,brown,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.","Moorhens may build nests floating in the water, on the ground, or in a bush.",,,,3,wild,6,53,,,X,1,1,1,,,,,,,3,L,,,,,,,X,X,X,X,,X,,,X,,,X,X,X,,,X,,,,X,,,X,,,,,X,X,,Gallinula chloropus,Rallidae,Gruiformes,3F6VX,3,tier 2,https://navarog.github.io/wingsearch/card/88,FALSE
Common Murre,Uria aalge,promoEurope,yellow,"For each other bird in this row and column, tuck 1 [card] from the deck behind this bird.",Common murres nest in dense colonies of up to 40 birds per square meter.,,X,,3,wild,1,67,,,X,,,2,,,,,,,2,R,,,,X,,,X,,,,,,,,X,,X,,,X,,,X,,,X,X,,,X,,,X,,X,X,,Uria aalge,Alcidae,Charadriiformes,7DS6Y,,,https://navarog.github.io/wingsearch/card/502,FALSE
Common Myna,Acridotheres tristis,asia,brown,"Copy the ""When Activated"" (brown) power of a bird in the [grassland] of the player on your left.",Mynas are skilled mimics and can imitate human speech.,,,,1,cavity,4,35,,X,,1,1,,,,,,/,,1,R,R,,,,,,,X,,,,,,,X,,,X,,,,,,,,,X,,,,X,,,,,,,Acridotheres tristis,Sturnidae,Passeriformes,9KHT,2,tier 1,https://navarog.github.io/wingsearch/card/372,TRUE
Common Nighthawk,Chordeiles minor,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","Nighthawks are crepuscular, hunting flying insects at dawn and dusk.",,,,3,ground,2,56,X,X,X,2,,,,,,,,,2,R,,,,X,X,X,,,,,,,,,X,X,,,,X,,,,X,,,,,,,,,X,,,,,Chordeiles minor,Caprimulgidae,Caprimulgiformes,5YB2W,4,underused tier,https://navarog.github.io/wingsearch/card/89,FALSE
Common Nightingale,Luscinia megarhynchos,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The nightingale's song has been called one of the most beautiful sounds of nature.,,,,3,bowl,4,23,X,X,X,1,1,,1,,,,/,,1,R,,,,,,,X,X,X,,,,,,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Luscinia megarhynchos,Muscicapidae,Passeriformes,3WFW6,2,tier 1,https://navarog.github.io/wingsearch/card/90,FALSE
Common Pheasant,Phasianus colchicus,promoEurope,teal,"If there is a bird with at least 2 [egg] on it in each habitat, lay 3 [egg] on this bird.",Fights between male pheasants—typically over females or territory—average 18 minutes.,,,,4,ground,5,80,X,X,,1,1,,1,,,,,,3,R,,,,,,,X,X,,,,,,,,X,,X,X,X,,,,,,X,,,,,,,,X,,,,Phasianus colchicus,Phasianidae,Galliformes,4FWMN,,,https://navarog.github.io/wingsearch/card/503,FALSE
Common Raven,Corvus corax,core,brown,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,"Ravens are omnivores whose diet includes insects, rodents, eggs, birds, and carrion.",,,,5,platform,2,135,X,X,X,,,,,1,,2,,,3,L,L,,,X,X,,X,X,X,,,,,,,X,,,X,,,,,,,X,,X,,X,,X,X,,,,,Corvus corax,Corvidae,Passeriformes,YNHG,0,god tier,https://navarog.github.io/wingsearch/card/91,TRUE
Common Sandpiper,Actitis hypoleucos,asia,brown,Draw 1 [card] for each bird in your [wetland] with an [egg] on it. Keep 1 and discard the rest.,"Common sandpipers often forage alone, but can be found roosting in large groups.",,,,2,ground,2,40,,,X,1,,1,,,,,/,,1,R,,,,,,,X,X,X,X,,,,,X,,,,,X,,,X,,,,,,,,,,X,,X,,,Actitis hypoleucos,Scolopacidae,Charadriiformes,64QTG,4,underused tier,https://navarog.github.io/wingsearch/card/373,FALSE
Common Snipe,Gallinago gallinago,promoEurope,teal,"For each type of action you used this round, draw 1 [card] from the deck. Keep 1 or tuck 1 behind this bird, and discard the rest.",Snipes use their tail feathers to create a drumming sound while diving during courtship.,,X,,3,ground,3,46,,,X,1,,,,,,,,,1,L,,,,,,,X,X,X,,,,,,X,,X,,,X,,,,X,,,,,,,,,,,X,,,Gallinago gallinago,Scolopacidae,Charadriiformes,3F6V9,,,https://navarog.github.io/wingsearch/card/504,FALSE
Common Starling,Sturnus vulgaris,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",Large flocks of starlings move in unison - the flock is called a murmuration.,,X,,3,cavity,4,38,,X,X,1,1,,1,,,,/,,1,R,,,,,,,X,X,,,,,,,X,X,X,X,,,,,,,,,X,,,,,,,X,,,,Sturnus vulgaris,Sturnidae,Passeriformes,5384V,3,tier 2,https://navarog.github.io/wingsearch/card/92,FALSE
Common Swift,Apus apus,european,teal,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.","Swifts stay in the air for months between breeding; the name Apus means (incorrectly) ""no feet.""",,X,,5,cavity,2,46,,X,,1,,,,,,,,,1,R,,,,,,,X,X,X,,,,,,,,X,,,,,,,X,,,X,,,,X,,X,,,,,Apus apus,Apodidae,Apodiformes,FZD9,3,tier 2,https://navarog.github.io/wingsearch/card/93,FALSE
Common Tailorbird,Orthotomus sutorius,asia,yellow,Find a contiguous group of birds in your preserve that all have the same nest type. Lay 1 [egg] on each of them. [star] nests count as any nest type.,"To support and camouflage their nests, tailorbirds stitch leaves together with plant fibers.",,,,2,wild,2,13,X,X,,1,,,,,,1,,,2,L,L,,,,,,,X,,,,,,,X,X,,,,X,,,,,,,X,X,X,X,,,X,,,X,,Orthotomus sutorius,Cisticolidae,Passeriformes,6SXXL,4,underused tier,https://navarog.github.io/wingsearch/card/374,TRUE
Common Teal,Anas crecca,asia,teal,"For every 3 [egg] in your [wetland], draw 1 [card] from the deck. You may tuck up to 2 [card] from your hand behind this bird.",This small migratory duck has a range that covers much of the northern hemisphere.,,X,,0,ground,4,61,,,X,1,1,,,,,,/,,1,L,,,,X,,,X,X,X,,,,,X,X,,X,X,,X,,,,,,,,,,,,,,,X,,,Anas crecca,Anatidae,Anseriformes,DGND,4,underused tier,https://navarog.github.io/wingsearch/card/375,FALSE
Common Tern,Sterna hirundo,promoEurope,brown,"If another player has a [fish] in their personal supply, gain 1 [fish] from the general supply.",Common terns sometimes track dolphins and wait for them to drive fish to the surface.,X,,,3,ground,2,88,,,X,,,1,,,,,,,1,R,,,,X,X,X,X,X,X,X,,,,,X,,,,,X,,X,X,,,X,,,,,,,X,,X,,,Sterna hirundo,Laridae,Charadriiformes,6ZSCT,,,https://navarog.github.io/wingsearch/card/505,FALSE
Common Wood Pigeon,Columba palumbus,promoEurope,brown,"If any 2 [die] in the birdfeeder show the same face, gain 1 of them.",Wood pigeons can peck more than 100 times per minutes.,,,,2,platform,2,74,X,,,,1,,1,,,,/,,1,R,,,,,,,X,X,X,,,,,,X,,,X,,,,,,,X,X,,,,X,,,X,X,,,,Columba palumbus,Columbidae,Columbiformes,XBGG,,,https://navarog.github.io/wingsearch/card/506,FALSE
Common Yellowthroat,Geothlypis trichas,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","This was one of the first American birds to be cataloged by Linnaeus, in 1766.",,,,1,bowl,4,18,,,X,1,,,,,,,,,1,L,,,,X,X,,,,,,X,,,X,X,,,,,,,,,X,,,,,X,,,,,,X,X,,Geothlypis trichas,Parulidae,Passeriformes,3FT5J,1,tier 0,https://navarog.github.io/wingsearch/card/94,FALSE
Cooper's Hawk,Accipiter cooperii,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Cooper's hawks hunt forest birds and mammals with great stealth.,X,,,3,platform,2,79,X,,,,,,,1,,,,,1,L,,,,X,X,,,,,,,,X,,X,,,,,,,X,,,X,X,,,,X,,X,X,,,,,Accipiter cooperii,Accipitridae,Accipitriformes,CVW5J,4,underused tier,https://navarog.github.io/wingsearch/card/95,FALSE
Coppersmith Barbet,Psilopogon haemacephalus,asia,brown,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.","This bird's call is a repetative metallic ""tuk"" that sounds like a copper sheet being beaten.",,,,4,cavity,3,23,X,,,1,,,1,,,,,,2,R,R,,,,,,,X,,,,,,X,,,,,,,,,,,X,,X,,X,,,,,X,,,,Psilopogon haemacephalus,Megalaimidae,Piciformes,7WP68,3,tier 2,https://navarog.github.io/wingsearch/card/376,TRUE
Corsican Nuthatch,Sitta whiteheadi,european,white,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,"This vulnerable species is found only on the island of Corsica, where it feeds on pine seeds.",,,X,4,cavity,2,21,X,,,,2,,,,,,,,2,R,,,,,,,X,,,,,X,,,,,,X,,,X,,,,X,,X,,X,,,,X,,,,,Sitta whiteheadi,Sittidae,Passeriformes,4XTSZ,4,underused tier,https://navarog.github.io/wingsearch/card/96,FALSE
Count Raggi's Bird-of-Paradise,Paradisaea raggiana,oceania,brown,Choose 1 other player. You both gain 1 [fruit] from the supply.,A bird-of-paradise is featured on the flag of Papua New Guinea.,,,,7,bowl,2,55,X,,,1,,,2,,,,,,3,L,L,,,,,,,,,X,,,X,,,,,,X,,,,,,X,,,,,,,,X,X,,X,,Paradisaea raggiana,Paradisaeidae,Passeriformes,4CTLG,3,tier 2,https://navarog.github.io/wingsearch/card/281,TRUE
Crested Ibis,Nipponia nippon,asia,white,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.","There were only 10 wild crested ibises in the 1980s, but breeding programs are reintroducing them.",,,X,7,platform,2,140,,,X,1,,2,,,,,,,3,L,,,,,,,,X,,,X,,,,,,,,X,,X,,X,,,X,,,,X,,,X,,X,,,Nipponia nippon,Threskiornithidae,Pelecaniformes,73ZHZ,3,tier 2,https://navarog.github.io/wingsearch/card/377,FALSE
Crested Lark,Galerida cristata,asia,brown,"Discard 1 [seed]. If you do, lay 1 [egg] on this bird.","This lark raises its crest when it sings, in territorial disputes, and in courtship displays.",,,,5,ground,4,34,,X,,1,1,,,,,,,,2,L,,,,,,,X,X,X,,X,,,,,,,X,,X,,,,,,,,,,,X,,,,,,,Galerida cristata,Alaudidae,Passeriformes,3F4BG,4,underused tier,https://navarog.github.io/wingsearch/card/378,FALSE
Crested Pigeon,Ocyphaps lophotes,oceania,yellow,Cache up to 8 [seed] from your supply on this bird.,"Taking advantage of grain farming, this gregarious pigeon has greatly expanded its range in Australia.",,,,3,platform,4,45,,X,,,1,,,,,,,,1,R,,,,,,,,,,X,X,,,,X,,,X,,,,,,,,,,,,X,X,,,,,,,Ocyphaps lophotes,Columbidae,Columbiformes,74HFL,4,underused tier,https://navarog.github.io/wingsearch/card/282,FALSE
Crested Tit,Lophophanes cristatus,promoEurope,yellow,"If you have exactly 5 different food types in your personal supply, cache 4 [wild] from the general supply on this bird.",The crested tit favors nesting in rotten tree stumps.,,,,5,cavity,4,19,X,,,1,1,,,,,,,,2,L,,,,,,,X,X,,,X,,,,,,,X,,,,,,,X,,X,,X,,,,,,,,,Lophophanes cristatus,Paridae,Passeriformes,3W3VB,,,https://navarog.github.io/wingsearch/card/507,FALSE
Crimson Chat,Epthianura tricolor,oceania,brown,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,These birds may track rains in small flocks to find areas where food is more abundant.,,X,,4,bowl,2,19,,X,,1,1,,1,,,,/,,1,R,R,,,,,,,,,X,,,,X,,,X,X,,,,,,,,,,,X,,X,,X,X,,X,,Epthianura tricolor,Meliphagidae,Passeriformes,6FZ65,3,tier 2,https://navarog.github.io/wingsearch/card/283,TRUE
Crimson-Bellied Tragopan,Tragopan temminckii,promoAsia,brown,Give 1 [wild] from your supply to another player to lay 2 [egg] on this bird.,"Also called Temminck’s tragopan, this pheasant displays by unfurling a bright blue lappet.",,,,3,platform,3,76,X,,,,1,,1,,,,,,2,R,,,,,,,,X,,,X,,,X,X,,,X,,,,,,,X,X,,,,X,,,,X,,,,Tragopan temminckii,Phasianidae,Galliformes,7CN7S,,,https://navarog.github.io/wingsearch/card/454,FALSE
Dark-Eyed Junco,Junco hyemalis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",Juncos summer in the cool woods but will use more open habitats in the winter.,,X,,3,ground,3,23,X,X,,1,1,,,,,,,,2,L,L,,,X,,,,,,,X,,,,X,X,X,X,,X,,,,,,,,,X,,,,,,,,,Junco hyemalis,Passerellidae,Passeriformes,6NFHF,3,tier 2,https://navarog.github.io/wingsearch/card/97,TRUE
Dartford Warbler,Curruca undata,promoUK,white,All players lay 1 [egg] on each of their birds with a [bowl] nest.,These birds tend to nest in dense bushes within 60 centimeters of the ground.,,,,5,bowl,4,15,,X,,2,,,,,,,,,2,L,,,,,,,X,,X,,,X,,,,,,,,,,,,X,,,,,X,,X,,,,,X,,Curruca undata,Sylviidae,Passeriformes,DDBP4,,,https://navarog.github.io/wingsearch/card/548,FALSE
Daurian Jackdaw,Coloeus dauuricus,promoAsia,white,Cache this round’s goal tile on this bird (score it as 1 cached food). Players score no goal at the end of this round; following rounds have 1 more turn than otherwise.,Jackdaws are highly intelligent and have a reputation for pilfering coins and other small objects.,,,,4,cavity,3,69,X,X,X,,,,,,,2,,,2,R,,,,,,,,X,,,,X,,,,X,,,,,,,,,,X,X,X,,,,,,,,,,Coloeus dauuricus,Corvidae,Passeriformes,X732,,,https://navarog.github.io/wingsearch/card/455,FALSE
Demoiselle Crane,Grus virgo,promoAsia,brown,Draw 2 [card] from the deck. Keep 1 and return 1 to the top of the deck.,The demoiselle crane’s difficult migration takes it over the Himalayas.,,,,1,ground,2,168,,X,X,1,1,,,1,,,/,,1,R,,,,,,,,X,,,,,,,X,X,,X,,X,,,,,,X,,,,,,X,X,,,,,Grus virgo,Gruidae,Gruiformes,CNWNW,,,https://navarog.github.io/wingsearch/card/456,FALSE
Desert Finch,Rhodospiza obsoleta,asia,white,Lay 1 [egg] on this bird for each other bird in your [grassland].,These finches are not restricted to deserts---they also frequent towns and agricultural areas.,,,,6,bowl,4,26,,X,,,3,,,,,,,,3,R,R,,,,,,,X,,,,X,,,,,,X,X,,,,,,,,,,X,,X,,,,,X,,Rhodospiza obsoleta,Fringillidae,Passeriformes,4SJJC,3,tier 2,https://navarog.github.io/wingsearch/card/379,TRUE
Desert Wheatear,Oenanthe deserti,asia,brown,"For each bird in your [grassland] with an [egg] on it, roll any 1 [die]. Choose 1 type of food you rolled, and gain 1 of that food from the supply.",The desert wheatears that breed in the arid areas of Central Asia overwinter in northeast Africa.,,,,2,ground,2,27,,X,,1,1,,,,,,/,,1,L,,,,,,,,X,X,,,X,,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Oenanthe deserti,Muscicapidae,Passeriformes,48X6R,2,tier 1,https://navarog.github.io/wingsearch/card/380,FALSE
Dickcissel,Spiza americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","This bird used to live in the eastern US, but its range has shrunk due to habitat loss.",,X,,4,ground,3,25,,X,,1,2,,,,,,,,3,R,,,,X,X,X,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,X,,,,,,,Spiza americana,Cardinalidae,Passeriformes,4Z99P,4,underused tier,https://navarog.github.io/wingsearch/card/98,FALSE
Double-Crested Cormorant,Phalacrocorax auritus,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Cormorant colonies can be so dense that their guano kills the trees.,,X,,3,platform,3,132,,,X,,,1,,,,1,,,2,R,,,,X,X,,,,,,X,,,,X,,X,,,,,,X,,,X,,X,,X,,,,,X,,,Phalacrocorax auritus,Phalacrocoracidae,Suliformes,D5K8L,4,underused tier,https://navarog.github.io/wingsearch/card/99,FALSE
Dovekie,Alle alle,promoCA,yellow,"Choose any 1 player (including yourself). For each bird on their player mat with a ""Game End"" (yellow) power, draw 1 [card] from the deck. Play 1 of them for free and discard the rest.",The Inuit dish kiviaq is made by fermenting 300 to 500 dovekies stuffed in a seal skin.,,,,3,wild,1,40,,,X,,,2,,,,,,,2,L,,,,X,,,X,X,,,,,,,X,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,Alle alle,Alcidae,Charadriiformes,BTFY,,,https://navarog.github.io/wingsearch/card/477,FALSE
Downy Woodpecker,Picoides pubescens,core,white,Play an additional bird in your [forest]. Pay its normal cost.,This little woodpecker frequently joins mixed flocks.,,,,3,cavity,2,30,X,,,1,1,,1,,,,/,,1,L,L,,,X,,,,,,,,,,,X,,,X,,,,,,,X,,X,,X,,,,X,X,,,,Picoides pubescens,Picidae,Piciformes,7TCSX,3,tier 2,https://navarog.github.io/wingsearch/card/100,TRUE
Dunnock,Prunella modularis,european,teal,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",The chicks in a single nest of dunnocks often have different fathers.,,,,1,bowl,4,20,X,,,1,1,,,,,,,,2,R,R,,,,,,X,X,,,,,,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,Prunella modularis,Prunellidae,Passeriformes,4N8CC,3,tier 2,https://navarog.github.io/wingsearch/card/101,TRUE
Eastern Bluebird,Sialia sialis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,Bluebirds struggle to breed when there is a lack of tree cavities. Nest boxed help.,,,,4,cavity,5,33,,X,,1,,,1,,,,,,2,R,R,,,X,X,,,,,,,X,,X,,,,,,,,,,,,,X,,,,X,,,X,,,,Sialia sialis,Turdidae,Passeriformes,4X5FY,3,tier 2,https://navarog.github.io/wingsearch/card/102,TRUE
Eastern Imperial Eagle,Aquila heliaca,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","This was the heraldic bird of several monarchies, but very few of them remain.",X,,,7,platform,2,200,,X,,,,,,3,,,,*,3,L,L,,,,,,X,X,X,,,X,,,,,,,X,,,X,,,,X,,,,X,X,X,X,,,,,Aquila heliaca,Accipitridae,Accipitriformes,5W2DZ,0,god tier,https://navarog.github.io/wingsearch/card/103,TRUE
Eastern Kingbird,Tyrannus tyrannus,core,pink,"When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.",The kingbird displays its orange crown while defending its territory.,,,,2,bowl,2,38,X,X,X,1,,,1,,,,/,,1,R,,,,X,X,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,X,X,,X,,Tyrannus tyrannus,Tyrannidae,Passeriformes,59Z2R,4,underused tier,https://navarog.github.io/wingsearch/card/104,FALSE
Eastern Meadowlark,Sturnella magna,promoUS,brown,Lay 2 [egg] on this bird. All other players lay 1 [egg] on a bird with a [ground] nest.,A male eastern meadowlark’s territory may include more than one nesting female.,,,,4,ground,4,38,,X,,2,1,,,,,,,,3,R,,,,X,X,X,,,,,,X,,,,,,X,X,X,,,,,,,,,,,X,,,,,,,Sturnella magna,Icteridae,Passeriformes,537YX,,,https://navarog.github.io/wingsearch/card/584,FALSE
Eastern Phoebe,Sayornis phoebe,core,brown,All players gain 1 [invertebrate] from the supply.,"Phoebes use mud to attach nests to riverbanks, rocky outcrops, or human structures.",,,,3,wild,4,28,X,X,X,1,,,1,,,,/,,1,R,,,,X,X,,,,,,,X,,,X,X,,,,X,,,,,,,X,,X,X,,,,X,,X,,Sayornis phoebe,Tyrannidae,Passeriformes,SRD 79.00,2,tier 1,https://navarog.github.io/wingsearch/card/105,FALSE
Eastern Rosella,Platycercus eximius,oceania,brown,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,This technicolor parrot is native to Australia and Tasmania; it has been introduced to New Zealand.,,,,4,cavity,3,48,X,X,,,1,,,,2,,,,3,R,,,,,,,,,,X,,X,,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,Platycercus eximius,Psittaculidae,Psittaciformes,4JP8G,4,underused tier,https://navarog.github.io/wingsearch/card/284,FALSE
Eastern Screech-Owl,Megascops asio,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.","These owls live near humans, but because they're small and nocturnal, they're rarely seen.",X,,,4,cavity,2,51,X,,,1,,,,1,,,/,,1,N,N,,,X,,,,,,,,X,,,,,,,,,,X,,,X,,X,,,,,X,X,,,,,Megascops asio,Strigidae,Strigiformes,3YXDW,3,tier 2,https://navarog.github.io/wingsearch/card/106,TRUE
Eastern Whip-Poor-Will,Antrostomus vociferus,promoUS,white,"Draw 2 new bonus cards. Keep 1, or discard 2 [wild] to keep both.",The namesake call of this nightjar has inspired works by Emily Dickinson and Hank Williams.,,,X,3,wild,2,48,X,,,2,,,,,,,,,2,L,,,,X,X,,,,,,,X,,,X,,,,,X,X,,,X,X,,X,,,X,,,X,,,X,,Antrostomus vociferus,Caprimulgidae,Caprimulgiformes,F4NC,,,https://navarog.github.io/wingsearch/card/585,FALSE
Eastern Whipbird,Psophodes olivaceus,oceania,brown,Choose 1 other player. You both gain 1 [seed] from the supply.,This secretive bird’s call is a long note followed by a whipcrack-like noise.,,,,5,bowl,2,30,X,,,1,1,,,,,,,,2,L,L,,,,,,,,,X,,X,,,,,,X,,,,,,,X,,,,X,,,,X,,,X,,Psophodes olivaceus,Psophodidae,Passeriformes,4PLCZ,4,underused tier,https://navarog.github.io/wingsearch/card/285,TRUE
Eleonora's Falcon,Falco eleonorae,european,brown,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.","Eleonora of Arborea was the first European ruler to outlaw hunting bird nests, in 1392.",,,,6,ground,2,95,,,X,1,,,,1,,,,,2,L,,,,,,,X,,X,,,,X,,,,,,,X,,,,,,X,,,,,,X,X,,X,,,Falco eleonorae,Falconidae,Falconiformes,3DTG5,4,underused tier,https://navarog.github.io/wingsearch/card/107,FALSE
Emu,Dromaius novaehollandiae,oceania,brown,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",Some indigenous cultures see an emu in the clouds of the Milky Way---it emerges at nesting time.,,,,4,ground,6,*,X,X,X,1,1,,1,,,,,,3,R,N,,,,,,,,,X,,,,,,X,,X,X,X,,,,,,X,,,X,,,,,X,,,,Dromaius novaehollandiae,Dromaiidae,Casuariiformes,37PLM,4,underused tier,https://navarog.github.io/wingsearch/card/286,TRUE
Eurasian Blackcap,Sylvia atricapilla,promoUK,yellow,"Lay 1 [egg] on each bird that has [fruit] in its food cost, including this one.","This bird's rich and varied song has been featured in literature, films, and music.",,,,4,bowl,3,22,X,,,1,,,1,,,,,,2,L,,,,,,,X,X,X,,X,X,,X,,,,,,,,,,,X,,,,X,,,,,X,,X,,Sylvia atricapilla,Sylviidae,Passeriformes,53N3J,,,https://navarog.github.io/wingsearch/card/549,FALSE
Eurasian Blue Tit,Cyanistes caeruleus,promoUK,pink,"When another player gains [seed], gain 1 [seed] from the supply.",Blue tits are famed for their acrobatic skills and can hang upside down when looking for food.,,,,2,cavity,5,18,X,,,1,1,,,,,,,,2,L,,,,,,,X,,,,,X,,X,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Cyanistes caeruleus,Paridae,Passeriformes,32NH2,,,https://navarog.github.io/wingsearch/card/550,FALSE
Eurasian Collared-Dove,Streptopelia decaocto,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.","In Greek myth, this mournful-sounding bird was once a servant who complained about her wages",,X,,5,platform,2,52,,X,,,1,,1,,,,,,2,R,,,,,,,X,X,,,X,X,,,,,X,X,,,,,,,,,,,,X,X,,X,X,,,,Streptopelia decaocto,Columbidae,Columbiformes,6ZXPP,3,tier 2,https://navarog.github.io/wingsearch/card/108,FALSE
Eurasian Coot,Fulica atra,asia,brown,Tuck up to 3 [card] from your hand behind this bird.,Coots have lobed toes -- not webbed feet -- that help them swim through water and walk on mud.,,X,,4,ground,4,75,,,X,,1,,,,,,,,1,R,,,,,,,X,X,X,X,,X,,,,,X,X,,X,,,,,,X,,,,,,,,,X,,,Fulica atra,Rallidae,Gruiformes,6K3W6,1,tier 0,https://navarog.github.io/wingsearch/card/381,FALSE
Eurasian Curlew,Numenius arquata,promoEurope,teal,"If this bird is in the same habitat as a bird with a [predator] power, lay 2 [egg] on this bird.","Curlew often nest near birds of pray such as kestrels, as they offer protection from other predators.",,,,7,ground,3,98,,X,X,3,,,,,,,,,3,R,,,,,,,X,X,X,,,X,,,,X,,,X,X,,,,X,,X,,,,,,,,,,,,Numenius arquata,Scolopacidae,Charadriiformes,483SZ,,,https://navarog.github.io/wingsearch/card/508,FALSE
Eurasian Eagle-Owl,Bubo bubo,asia,brown,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.","These owls prey on rodents, rabbits, and pigeons, and have been seen taking even larger animals.",X,,,4,platform,2,174,X,X,,,,,,2,,,,,2,N,N,,,,,,X,X,,,,X,,,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Bubo bubo,Strigidae,Strigiformes,NKSD,3,tier 2,https://navarog.github.io/wingsearch/card/382,TRUE
Eurasian Golden Oriole,Oriolus oriolus,european,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",This bird builds a cup-shaped nest suspended under a branch high in a tree.,,,,4,wild,2,46,X,X,,1,,,1,,,1,,,3,L,,,,,,,X,X,X,,,X,,X,,X,,,X,X,,,,,,,X,X,,X,,,X,X,,X,,Oriolus oriolus,Oriolidae,Passeriformes,74VGB,3,tier 2,https://navarog.github.io/wingsearch/card/109,FALSE
Eurasian Green Woodpecker,Picus viridis,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","Unlike other woodpeckers, this bird feeds mainly on the ground.",,,,4,cavity,3,48,X,X,,1,,,1,,,,,,2,R,R,,,,,,X,,,,,X,,X,,X,,,,,,,,,,,X,,,,,,,X,,,,Picus viridis,Picidae,Piciformes,4HR3F,4,underused tier,https://navarog.github.io/wingsearch/card/110,TRUE
Eurasian Hobby,Falco subbuteo,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",This falcon catches insects and birds in flight.,X,,,4,platform,2,75,X,X,X,1,,,,1,,,,*,2,L,,,,,,,X,X,X,,,X,,,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Falco subbuteo,Falconidae,Falconiformes,6HNPP,3,tier 2,https://navarog.github.io/wingsearch/card/111,FALSE
Eurasian Hoopoe,Upupa epops,asia,white,Steal 1 [invertebrate] from each of your neighbors. Each neighbor from whom a [invertebrate] was stolen may gain 1 [wild] from the supply.,Hoopoes use their long bills to extract insect larvae from the ground or surface litter.,,,,7,cavity,5,46,,X,,2,,,,1,,,,,3,R,LR,,,,,,X,X,X,,,X,,,,,,,X,,,,,,,,X,,,,X,X,,,,,,Upupa epops,Upupidae,Bucerotiformes,7DLHC,3,tier 2,https://navarog.github.io/wingsearch/card/383,TRUE
