Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Swift Start,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Common Iora,Aegithina tiphia,asia,brown,Lay 1 [egg] on another bird in this column.,Male ioras display by fluffing up their feathers and parachuting through the air like a ball.,,,,1,bowl,2,21,X,X,,1,,,,,,,,,1,,,,,,X,,,,,,,X,X,,,,,,,,X,,,,,X,,,,X,,,X,,Aegithina tiphia,Aegithinidae,Passeriformes,658QP,2,tier 1,https://navarog.github.io/wingsearch/card/371,TRUE
Common Kingfisher,Alcedo atthis,european,brown,Steal 1 [fish] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,Kingfishers have a third eyelid that protects their eyes while hunting underwater.,,,,4,wild,5,26,,,X,1,,2,,,,,,,3,,,,,X,X,,X,,,,,,,,,X,X,,,X,,,,X,,X,X,,,,,X,X,,Alcedo atthis,Alcedinidae,Coraciiformes,667V7,3,tier 2,https://navarog.github.io/wingsearch/card/84,TRUE
Common Little Bittern,Ixobrychus minutus,european,brown,Gain 1 face-up [card] that can live in [grassland].,"At just 38 cm tall, this is one of the smallest herons.",,,,2,platform,3,49,,,X,1,,1,,,,,,,2,,,,,X,X,X,,,,,,X,,,,,,,,X,,,,,,,X,,,,,X,,,Botaurus minutus,Ardeidae,Pelecaniformes,CR8MD,4,underused tier,https://navarog.github.io/wingsearch/card/85,FALSE
Common Loon,Gavia immer,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,Loon chicks spend the majority of their first week of life riding on a parent's back.,,,,6,ground,1,117,,,X,,,1,,,,1,,,2,,X,,,X,,,,,,,,,,,,,X,,,X,,,X,,X,,,,,X,,X,,,Gavia immer,Gaviidae,Gaviiformes,3FFP6,4,underused tier,https://navarog.github.io/wingsearch/card/86,FALSE
Common Merganser,Mergus merganser,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",Adult males can eat fish more than a foot long.,X,,,5,cavity,4,86,,,X,,,1,,,,1,,,2,,X,,,X,X,,,,,,,,,,,,,,X,X,,,X,X,X,,,,,,,X,,,Mergus merganser,Anatidae,Anseriformes,3ZTRN,4,underused tier,https://navarog.github.io/wingsearch/card/87,FALSE
Common Moorhen,Gallinula chloropus,european,brown,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.","Moorhens may build nests floating in the water, on the ground, or in a bush.",,,,3,wild,6,53,,,X,1,1,1,,,,,,,3,,,,,X,X,X,X,,X,,,X,,,X,X,X,,,X,,,,X,,,X,,,,,X,X,,Gallinula chloropus,Rallidae,Gruiformes,3F6VX,3,tier 2,https://navarog.github.io/wingsearch/card/88,FALSE
Common Myna,Acridotheres tristis,asia,brown,"Copy the ""When Activated"" (brown) power of a bird in the [grassland] of the player on your left.",Mynas are skilled mimics and can imitate human speech.,,,,1,cavity,4,35,,X,,1,1,,,,,,/,,1,,,,,,X,,,,,,,X,,,X,,,,,,,,,X,,,,X,,,,,,,Acridotheres tristis,Sturnidae,Passeriformes,9KHT,2,tier 1,https://navarog.github.io/wingsearch/card/372,TRUE
Common Nighthawk,Chordeiles minor,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","Nighthawks are crepuscular, hunting flying insects at dawn and dusk.",,,,3,ground,2,56,X,X,X,2,,,,,,,,,2,,X,X,X,,,,,,,,,X,X,,,,X,,,,X,,,,,,,,,X,,,,,Chordeiles minor,Caprimulgidae,Caprimulgiformes,5YB2W,4,underused tier,https://navarog.github.io/wingsearch/card/89,FALSE
Common Nightingale,Luscinia megarhynchos,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The nightingale's song has been called one of the most beautiful sounds of nature.,,,,3,bowl,4,23,X,X,X,1,1,,1,,,,/,,1,,,,,X,X,X,,,,,,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Luscinia megarhynchos,Muscicapidae,Passeriformes,3WFW6,2,tier 1,https://navarog.github.io/wingsearch/card/90,FALSE
Common Raven,Corvus corax,core,brown,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,"Ravens are omnivores whose diet includes insects, rodents, eggs, birds, and carrion.",,,,5,platform,2,135,X,X,X,,,,,1,,2,,,3,,X,X,,X,X,X,,,,,,,X,,,X,,,,,,,X,,X,,X,,X,X,,,,,Corvus corax,Corvidae,Passeriformes,YNHG,0,god tier,https://navarog.github.io/wingsearch/card/91,TRUE
Common Sandpiper,Actitis hypoleucos,asia,brown,Draw 1 [card] for each bird in your [wetland] with an [egg] on it. Keep 1 and discard the rest.,"Common sandpipers often forage alone, but can be found roosting in large groups.",,,,2,ground,2,40,,,X,1,,1,,,,,/,,1,,,,,X,X,X,X,,,,,X,,,,,X,,,X,,,,,,,,,,X,,X,,,Actitis hypoleucos,Scolopacidae,Charadriiformes,64QTG,4,underused tier,https://navarog.github.io/wingsearch/card/373,FALSE
Common Starling,Sturnus vulgaris,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",Large flocks of starlings move in unison - the flock is called a murmuration.,,X,,3,cavity,4,38,,X,X,1,1,,1,,,,/,,1,,,,,X,X,,,,,,,X,X,X,X,,,,,,,,,X,,,,,,,X,,,,Sturnus vulgaris,Sturnidae,Passeriformes,5384V,3,tier 2,https://navarog.github.io/wingsearch/card/92,FALSE
Common Swift,Apus apus,european,teal,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.","Swifts stay in the air for months between breeding; the name Apus means (incorrectly) ""no feet.""",,X,,5,cavity,2,46,,X,,1,,,,,,,,,1,,,,,X,X,X,,,,,,,,X,,,,,,,X,,,X,,,,X,,X,,,,,Apus apus,Apodidae,Apodiformes,FZD9,3,tier 2,https://navarog.github.io/wingsearch/card/93,FALSE
Common Tailorbird,Orthotomus sutorius,asia,yellow,Find a contiguous group of birds in your preserve that all have the same nest type. Lay 1 [egg] on each of them. [star] nests count as any nest type.,"To support and camouflage their nests, tailorbirds stitch leaves together with plant fibers.",,,,2,wild,2,13,X,X,,1,,,,,,1,,,2,,X,,,X,X,X,,,,,,X,X,,,,X,,,,,,,X,X,X,X,,,X,,,X,,Orthotomus sutorius,Cisticolidae,Passeriformes,6SXXL,4,underused tier,https://navarog.github.io/wingsearch/card/374,TRUE
Common Teal,Anas crecca,asia,teal,"For every 3 [egg] in your [wetland], draw 1 [card] from the deck. You may tuck up to 2 [card] from your hand behind this bird.",This small migratory duck has a range that covers much of the northern hemisphere.,,X,,0,ground,4,61,,,X,1,1,,,,,,/,,1,,,,,,X,,,,,,X,X,,X,X,,X,,,,,,,,,,,,,,,X,,,Anas crecca,Anatidae,Anseriformes,DGND,4,underused tier,https://navarog.github.io/wingsearch/card/375,FALSE
Common Yellowthroat,Geothlypis trichas,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","This was one of the first American birds to be cataloged by Linnaeus, in 1766.",,,,1,bowl,4,18,,,X,1,,,,,,,,,1,,X,X,,,,,,X,,,X,X,,,,,,,,,X,,,,,X,,,,,,X,X,,Geothlypis trichas,Parulidae,Passeriformes,3FT5J,1,tier 0,https://navarog.github.io/wingsearch/card/94,FALSE
Cooper's Hawk,Accipiter cooperii,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Cooper's hawks hunt forest birds and mammals with great stealth.,X,,,3,platform,2,79,X,,,,,,,1,,,,,1,,X,X,,,,,,,,X,,X,,,,,,,X,,,X,X,,,,X,,X,X,,,,,Astur cooperii,Accipitridae,Accipitriformes,CVW5J,4,underused tier,https://navarog.github.io/wingsearch/card/95,FALSE
Coppersmith Barbet,Psilopogon haemacephalus,asia,brown,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.","This bird's call is a repetative metallic ""tuk"" that sounds like a copper sheet being beaten.",,,,4,cavity,3,23,X,,,1,,,1,,,,,,2,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,X,,,,,X,,,,Psilopogon haemacephalus,Megalaimidae,Piciformes,7WP68,3,tier 2,https://navarog.github.io/wingsearch/card/376,TRUE
Corsican Nuthatch,Sitta whiteheadi,european,white,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,"This vulnerable species is found only on the island of Corsica, where it feeds on pine seeds.",,,X,4,cavity,2,21,X,,,,2,,,,,,,,2,,,,,X,,,,,X,,,,,,X,,,X,,,,X,,X,,X,,,,X,,,,,Sitta whiteheadi,Sittidae,Passeriformes,4XTSZ,4,underused tier,https://navarog.github.io/wingsearch/card/96,FALSE
Count Raggi's Bird-of-Paradise,Paradisaea raggiana,oceania,brown,Choose 1 other player. You both gain 1 [fruit] from the supply.,A bird-of-paradise is featured on the flag of Papua New Guinea.,,,,7,bowl,2,55,X,,,1,,,2,,,,,,3,,,,,,,,X,,,X,,,,,,X,,,,,,X,,,,,,,,X,X,,X,,Paradisaea raggiana,Paradisaeidae,Passeriformes,4CTLG,3,tier 2,https://navarog.github.io/wingsearch/card/281,TRUE
Crested Ibis,Nipponia nippon,asia,white,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.","There were only 10 wild crested ibises in the 1980s, but breeding programs are reintroducing them.",,,X,7,platform,2,140,,,X,1,,2,,,,,,,3,,,,,,X,,,X,,,,,,,,X,,X,,X,,,X,,,,X,,,X,,X,,,Nipponia nippon,Threskiornithidae,Pelecaniformes,73ZHZ,3,tier 2,https://navarog.github.io/wingsearch/card/377,FALSE
Crested Lark,Galerida cristata,asia,brown,"Discard 1 [seed]. If you do, lay 1 [egg] on this bird.","This lark raises its crest when it sings, in territorial disputes, and in courtship displays.",,,,5,ground,4,34,,X,,1,1,,,,,,,,2,,,,,X,X,X,,X,,,,,,,X,,X,,,,,,,,,,,X,,,,,,,Galerida cristata,Alaudidae,Passeriformes,3F4BG,4,underused tier,https://navarog.github.io/wingsearch/card/378,FALSE
Crested Pigeon,Ocyphaps lophotes,oceania,yellow,Cache up to 8 [seed] from your supply on this bird.,"Taking advantage of grain farming, this gregarious pigeon has greatly expanded its range in Australia.",,,,3,platform,4,45,,X,,,1,,,,,,,,1,,,,,,,,X,X,,,,X,,,X,,,,,,,,,,,,X,X,,,,,,,Ocyphaps lophotes,Columbidae,Columbiformes,74HFL,4,underused tier,https://navarog.github.io/wingsearch/card/282,FALSE
Crimson Chat,Epthianura tricolor,oceania,brown,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,These birds may track rains in small flocks to find areas where food is more abundant.,,X,,4,bowl,2,19,,X,,1,1,,1,,,,/,,1,,,,,,,,X,,,,X,,,X,X,,,,,,,,,,,X,,X,,X,X,,X,,Epthianura tricolor,Meliphagidae,Passeriformes,6FZ65,3,tier 2,https://navarog.github.io/wingsearch/card/283,TRUE
Dark-Eyed Junco,Junco hyemalis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",Juncos summer in the cool woods but will use more open habitats in the winter.,,X,,3,ground,3,23,X,X,,1,1,,,,,,,,2,,X,,,,,,,X,,,,X,X,X,X,,X,,,,,,,,,X,,,,,,,,,Junco hyemalis,Passerellidae,Passeriformes,6NFHF,3,tier 2,https://navarog.github.io/wingsearch/card/97,TRUE
Desert Finch,Rhodospiza obsoleta,asia,white,Lay 1 [egg] on this bird for each other bird in your [grassland].,These finches are not restricted to deserts---they also frequent towns and agricultural areas.,,,,6,bowl,4,26,,X,,,3,,,,,,,,3,,,,,,X,,,,X,,,,,,X,X,,,,,,,,,,X,,X,,,,,X,,Rhodospiza obsoleta,Fringillidae,Passeriformes,4SJJC,3,tier 2,https://navarog.github.io/wingsearch/card/379,TRUE
Desert Wheatear,Oenanthe deserti,asia,brown,"For each bird in your [grassland] with an [egg] on it, roll any 1 [die]. Choose 1 type of food you rolled, and gain 1 of that food from the supply.",The desert wheatears that breed in the arid areas of Central Asia overwinter in northeast Africa.,,,,2,ground,2,27,,X,,1,1,,,,,,/,,1,,,,,,X,X,,X,X,,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Oenanthe deserti,Muscicapidae,Passeriformes,48X6R,2,tier 1,https://navarog.github.io/wingsearch/card/380,FALSE
Dickcissel,Spiza americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","This bird used to live in the eastern US, but its range has shrunk due to habitat loss.",,X,,4,ground,3,25,,X,,1,2,,,,,,,,3,,X,X,X,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,X,,,,,,,Spiza americana,Cardinalidae,Passeriformes,4Z99P,4,underused tier,https://navarog.github.io/wingsearch/card/98,FALSE
Double-Crested Cormorant,Phalacrocorax auritus,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Cormorant colonies can be so dense that their guano kills the trees.,,X,,3,platform,3,132,,,X,,,1,,,,1,,,2,,X,X,,,,,,X,,,,X,,X,,,,,,X,,,X,,X,,X,,,,,X,,,Nannopterum auritum,Phalacrocoracidae,Suliformes,D5K8L,4,underused tier,https://navarog.github.io/wingsearch/card/99,FALSE
Downy Woodpecker,Picoides pubescens,core,white,Play an additional bird in your [forest]. Pay its normal cost.,This little woodpecker frequently joins mixed flocks.,,,,3,cavity,2,30,X,,,1,1,,1,,,,/,,1,,X,,,,,,,,,,,X,,,X,,,,,,,X,,X,,X,,,,X,X,,,,Dryobates pubescens,Picidae,Piciformes,7TCSX,3,tier 2,https://navarog.github.io/wingsearch/card/100,FALSE
Dunnock,Prunella modularis,european,teal,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",The chicks in a single nest of dunnocks often have different fathers.,,,,1,bowl,4,20,X,,,1,1,,,,,,,,2,,,,,X,X,,,,,,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,Prunella modularis,Prunellidae,Passeriformes,4N8CC,3,tier 2,https://navarog.github.io/wingsearch/card/101,TRUE
Eastern Bluebird,Sialia sialis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,Bluebirds struggle to breed when there is a lack of tree cavities. Nest boxed help.,,,,4,cavity,5,33,,X,,1,,,1,,,,,,2,,X,X,,,,,,,X,,X,,,,,,,,,,,,,X,,,,X,,,X,,,,Sialia sialis,Turdidae,Passeriformes,4X5FY,3,tier 2,https://navarog.github.io/wingsearch/card/102,FALSE
Eastern Imperial Eagle,Aquila heliaca,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","This was the heraldic bird of several monarchies, but very few of them remain.",X,,,7,platform,2,200,,X,,,,,,3,,,,*,3,,,,,X,X,X,,,X,,,,,,,X,,,X,,,,X,,,,X,X,X,X,,,,,Aquila heliaca,Accipitridae,Accipitriformes,5W2DZ,0,god tier,https://navarog.github.io/wingsearch/card/103,TRUE
Eastern Kingbird,Tyrannus tyrannus,core,pink,"When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.",The kingbird displays its orange crown while defending its territory.,,,,2,bowl,2,38,X,X,X,1,,,1,,,,/,,1,,X,X,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,X,X,,X,,Tyrannus tyrannus,Tyrannidae,Passeriformes,59Z2R,4,underused tier,https://navarog.github.io/wingsearch/card/104,FALSE
Eastern Phoebe,Sayornis phoebe,core,brown,All players gain 1 [invertebrate] from the supply.,"Phoebes use mud to attach nests to riverbanks, rocky outcrops, or human structures.",,,,3,wild,4,28,X,X,X,1,,,1,,,,/,,1,,X,X,,,,,,,X,,,X,X,,,,X,,,,,,,X,,X,X,,,,X,,X,,Sayornis phoebe,Tyrannidae,Passeriformes,79SRD,2,tier 1,https://navarog.github.io/wingsearch/card/105,FALSE
Eastern Rosella,Platycercus eximius,oceania,brown,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,This technicolor parrot is native to Australia and Tasmania; it has been introduced to New Zealand.,,,,4,cavity,3,48,X,X,,,1,,,,2,,,,3,,,,,,,,X,,X,,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,Platycercus eximius,Psittaculidae,Psittaciformes,4JP8G,4,underused tier,https://navarog.github.io/wingsearch/card/284,FALSE
Eastern Screech-Owl,Megascops asio,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.","These owls live near humans, but because they're small and nocturnal, they're rarely seen.",X,,,4,cavity,2,51,X,,,1,,,,1,,,/,,1,,X,,,,,,,,X,,,,,,,,,,X,,,X,,X,,,,,X,X,,,,,Megascops asio,Strigidae,Strigiformes,3YXDW,3,tier 2,https://navarog.github.io/wingsearch/card/106,FALSE
Eastern Whipbird,Psophodes olivaceus,oceania,brown,Choose 1 other player. You both gain 1 [seed] from the supply.,This secretive bird’s call is a long note followed by a whipcrack-like noise.,,,,5,bowl,2,30,X,,,1,1,,,,,,,,2,,,,,,,,X,,X,,,,,,X,,,,,,,X,,,,X,,,,X,,,X,,Psophodes olivaceus,Psophodidae,Passeriformes,4PLCZ,4,underused tier,https://navarog.github.io/wingsearch/card/285,TRUE
Eleonora's Falcon,Falco eleonorae,european,brown,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.","Eleonora of Arborea was the first European ruler to outlaw hunting bird nests, in 1392.",,,,6,ground,2,95,,,X,1,,,,1,,,,,2,,,,,X,,X,,,,X,,,,,,,X,,,,,,X,,,,,,X,X,,X,,,Falco eleonorae,Falconidae,Falconiformes,3DTG5,4,underused tier,https://navarog.github.io/wingsearch/card/107,FALSE
Emu,Dromaius novaehollandiae,oceania,brown,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",Some indigenous cultures see an emu in the clouds of the Milky Way---it emerges at nesting time.,,,,4,ground,6,*,X,X,X,1,1,,1,,,,,,3,,,,,,,,X,,,,,,X,,X,X,X,,,,,,X,,,X,,,,,X,,,,Dromaius novaehollandiae,Dromaiidae,Casuariiformes,37PLM,4,underused tier,https://navarog.github.io/wingsearch/card/286,TRUE
Eurasian Collared-Dove,Streptopelia decaocto,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.","In Greek myth, this mournful-sounding bird was once a servant who complained about her wages",,X,,5,platform,2,52,,X,,,1,,1,,,,,,2,,,,,X,X,,,X,X,,,,,X,X,,,,,,,,,,,,X,X,,X,X,,,,Streptopelia decaocto,Columbidae,Columbiformes,6ZXPP,3,tier 2,https://navarog.github.io/wingsearch/card/108,FALSE
Eurasian Coot,Fulica atra,asia,brown,Tuck up to 3 [card] from your hand behind this bird.,Coots have lobed toes -- not webbed feet -- that help them swim through water and walk on mud.,,X,,4,ground,4,75,,,X,,1,,,,,,,,1,,,,,X,X,X,X,,X,,,,,X,X,,X,,,,,,X,,,,,,,,,X,,,Fulica atra,Rallidae,Gruiformes,6K3W6,1,tier 0,https://navarog.github.io/wingsearch/card/381,FALSE
Eurasian Eagle-Owl,Bubo bubo,asia,brown,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.","These owls prey on rodents, rabbits, and pigeons, and have been seen taking even larger animals.",X,,,4,platform,2,174,X,X,,,,,,2,,,,,2,,,,,X,X,,,,X,,,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Bubo bubo,Strigidae,Strigiformes,NKSD,3,tier 2,https://navarog.github.io/wingsearch/card/382,TRUE
Eurasian Golden Oriole,Oriolus oriolus,european,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",This bird builds a cup-shaped nest suspended under a branch high in a tree.,,,,4,wild,2,46,X,X,,1,,,1,,,1,,,3,,,,,X,X,X,,,X,,X,,X,,,X,X,,,,,,,X,X,,X,,,X,X,,X,,Oriolus oriolus,Oriolidae,Passeriformes,74VGB,3,tier 2,https://navarog.github.io/wingsearch/card/109,FALSE
Eurasian Green Woodpecker,Picus viridis,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","Unlike other woodpeckers, this bird feeds mainly on the ground.",,,,4,cavity,3,48,X,X,,1,,,1,,,,,,2,,,,,X,,,,,X,,X,,X,,,,,,,,,,,X,,,,,,,X,,,,Picus viridis,Picidae,Piciformes,4HR3F,4,underused tier,https://navarog.github.io/wingsearch/card/110,TRUE
Eurasian Hobby,Falco subbuteo,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",This falcon catches insects and birds in flight.,X,,,4,platform,2,75,X,X,X,1,,,,1,,,,*,2,,,,,X,X,X,,,X,,,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Falco subbuteo,Falconidae,Falconiformes,6HNPP,3,tier 2,https://navarog.github.io/wingsearch/card/111,FALSE
Eurasian Hoopoe,Upupa epops,asia,white,Steal 1 [invertebrate] from each of your neighbors. Each neighbor from whom a [invertebrate] was stolen may gain 1 [wild] from the supply.,Hoopoes use their long bills to extract insect larvae from the ground or surface litter.,,,,7,cavity,5,46,,X,,2,,,,1,,,,,3,,,,,X,X,X,,,X,,,,,,,X,,,,,,,,X,,,,X,X,,,,,,Upupa epops,Upupidae,Bucerotiformes,7DLHC,3,tier 2,https://navarog.github.io/wingsearch/card/383,TRUE
Eurasian Jay,Garrulus glandarius,european,brown,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,These birds plan for future needs by hoarding acorns for winter.,,,,4,bowl,3,56,X,,,1,1,,,,,1,,,3,,,,,X,X,,,,X,,,,,,X,X,,,,,,X,,,X,,,,,,,,X,,Garrulus glandarius,Corvidae,Passeriformes,6JYHZ,4,underused tier,https://navarog.github.io/wingsearch/card/112,FALSE
Eurasian Kestrel,Falco tinnunculus,asia,brown,"Roll any 3 [die]. If you roll at least 1 [rodent], cache 1 [rodent] on this bird.","While looking for mice and similar prey, kestrels hover by flying into the wind or by using ridge lift.",X,,,3,cavity,3,68,X,X,X,,,,,1,,,,,1,,,,,X,X,X,,,X,,,X,X,,,,,,X,,,,X,X,,,,,X,,,,,,Falco tinnunculus,Falconidae,Falconiformes,3DTGW,3,tier 2,https://navarog.github.io/wingsearch/card/384,TRUE
Eurasian Magpie,Pica pica,european,teal,"Choose 1 other player. For each action cube on their [grassland], cache 1 [wild] from the supply on any of your birds.","These birds are considered to have very high intelligence, similar to great apes.",,,,1,platform,3,56,,X,,1,,,,,,1,,,2,,,,,X,X,,,,X,,,X,,,,,,,,,,,,,X,,X,X,,,,,,,Pica pica,Corvidae,Passeriformes,4HPXM,3,tier 2,https://navarog.github.io/wingsearch/card/113,FALSE
Eurasian Marsh-Harrier,Circus aeruginosus,asia,brown,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.","Harriers perform ""sky dances"" in which they show off for mates by swooping, tumbling, and diving.",X,,,2,platform,3,130,,,X,,,,,1,,,,,1,,,,,X,X,X,,,X,,,X,,,,,,,X,,,,X,,,,X,,X,,,X,,,Circus aeruginosus,Accipitridae,Accipitriformes,5Z6WQ,3,tier 2,https://navarog.github.io/wingsearch/card/385,FALSE
Eurasian Nutcracker,Nucifraga caryocatactes,european,brown,Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.,Nutcrackers have been observed traveling as far as 32 km to cache seeds.,,,,5,bowl,2,55,X,,,,1,,,,,,,,1,,,,,X,X,,,,X,,,,,,X,,,,,,,X,,,,,,,,X,,,X,,Nucifraga caryocatactes,Corvidae,Passeriformes,482M4,2,tier 1,https://navarog.github.io/wingsearch/card/114,FALSE
Eurasian Nuthatch,Sitta europaea,european,brown,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",These birds will often recycle old woodpecker holes as nesting sites.,,,,3,cavity,3,25,X,,,1,1,,,,,,,,2,,,,,X,X,,,,X,,,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Sitta europaea,Sittidae,Passeriformes,6Z52Z,3,tier 2,https://navarog.github.io/wingsearch/card/115,FALSE
Eurasian Sparrowhawk,Accipiter nisus,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",Sparrowhawk populations declined with the introduction of agricultural insecticides.,X,,,4,platform,2,65,X,,,,,,,1,,,,*,1,,,,,X,X,X,,,X,,,,,,,,,,X,,,X,,,,,X,,X,X,,,,,Accipiter nisus,Accipitridae,Accipitriformes,93VP,3,tier 2,https://navarog.github.io/wingsearch/card/116,FALSE
Eurasian Tree Sparrow,Passer montanus,european,pink,"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn.",A traditional Japanese dance was inspired by the fluttering of the tree sparrow.,,,,3,cavity,4,21,X,X,,1,1,,,,,,,,2,,,,,X,X,,X,,X,,,X,X,,X,,,,,,,,,X,,X,,,,,,,,,Passer montanus,Passeridae,Passeriformes,4DXY4,4,underused tier,https://navarog.github.io/wingsearch/card/117,TRUE
Eurasian Treecreeper,Certhia familiaris,asia,teal,"For every 3 [egg] in your [forest], gain 1 [invertebrate] or [seed] from the supply. You may cache up to 2 of them on this bird.","Treecreepers forage by hopping up tree trunks, then fluttering down to the base of the next tree.",,,,0,bowl,3,20,X,,,1,1,,,,,,/,,1,,,,,X,X,,,,X,,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,Certhia familiaris,Certhiidae,Passeriformes,5XN9F,4,underused tier,https://navarog.github.io/wingsearch/card/386,FALSE
European Bee-Eater,Merops apiaster,european,brown,"Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting.",Honeybees make up approximately three-quarters of this bird’s diet.,,,,3,cavity,3,38,,X,,2,,,,,,,,,2,,,,,X,X,X,,,X,,,X,,,,,,,,,X,,,X,,,,X,,,,,,,Merops apiaster,Meropidae,Coraciiformes,3ZW55,3,tier 2,https://navarog.github.io/wingsearch/card/118,FALSE
European Goldfinch,Carduelis carduelis,european,pink,"When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird.",This goldfinch is depicted in hundreds of Italian Renaissance paintings.,,X,,6,bowl,4,23,X,X,,,2,,1,,,,,,3,,,,,X,X,,,,X,,X,,X,X,X,X,,,,,,,,,,X,,,,,X,,X,,Carduelis carduelis,Fringillidae,Passeriformes,R6J7,2,tier 1,https://navarog.github.io/wingsearch/card/119,FALSE
European Honey Buzzard,Pernis apivorus,european,teal,"Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting.",This species possesses long toes and claws to rake and excavate wasp nests.,,,,4,platform,1,134,X,,,1,,,,,,1,,,2,,,,,X,X,X,,,X,,,,,,,,,,,,,X,X,,X,,X,,,X,,,,,Pernis apivorus,Accipitridae,Accipitriformes,4F6YZ,4,underused tier,https://navarog.github.io/wingsearch/card/120,FALSE
